EGL-BEE, 16653.0, 16653.0, 0.0%, 11.0, 3
BUF-EGL, 21575.0, 21575.0, -0.0%, 1956.0, 3
BUF-BOK, 12917.0, 12917.0, -0.0%, 2.0, 1
LEO-NAS, 18192.0, 18192.0, 0.0%, 3.0, 3
GNU-LEO, 17863.0, 17863.0, 0.0%, 26.0, 3
LEO-JKL, 17551.0, 17551.0, 0.0%, 5.0, 2
BUF-JKL, 20008.0, 20373.0, 1.8%, 10815.0, 4
LEO-BOK, 15372.0, 15372.0, -0.0%, 11.0, 4
BUF-LEO, 22888.0, 22887.0, -0.0%, 9011.0, 3
EGL-GNU, 19225.0, 19225.0, 0.0%, 11.0, 3
GNU-BEE, 11165.0, 11165.0, -0.0%, 74.0, 3
LEO-ANT, 16723.0, 16723.0, 0.0%, 1.0, 1
BUF-ZEB, 14688.0, 14687.0, -0.0%, 21.0, 2
BUF-OWL, 16797.0, 16797.0, -0.0%, 16.0, 2
BUF-AIV, 12614.0, 12614.0, 0.0%, 2.0, 1
BUF-ANT, 18225.0, 18225.0, -0.0%, 600.0, 3
LEO-BEE, 18900.0, 18900.0, 0.0%, 157.0, 4
LEO-AIV, 13615.0, 13615.0, 0.0%, 1.0, 1
GNU-JKL, 11098.0, 11098.0, -0.0%, 31.0, 2
EGL-LEO, 19388.0, 19388.0, 0.0%, 9.0, 2
BUF-NAS, 15549.0, 15549.0, -0.0%, 3.0, 2
LEO-OWL, 15827.0, 15827.0, 0.0%, 1.0, 1
BUF-GNU, 17350.0, 17350.0, 0.0%, 983.0, 3
BUF-BEE, 17120.0, 17120.0, -0.0%, 946.0, 2
Average:, 16720.8475, 16736.0933333, 0.0748316849502%, 1029.11630217, 
LEO-BOK, 15372.0, 15372.0, 0.0%, 10.0, 3
GNU-JKL, 11098.0, 11098.0, 0.0%, 350.0, 2
